epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,411.427,1.94775,1.66932,1.47562,0.3903,0.28358,0.24416,0.06887,2.57489,2.18048,1.79653,0.000556742,0.000556742,0.000556742
72,417.832,2.01246,1.6482,1.47465,0.34285,0.34264,0.24854,0.07528,2.53542,2.18103,1.79529,0.000546421,0.000546421,0.000546421
73,423.146,1.98032,1.65653,1.46519,0.28608,0.31343,0.2268,0.0672,2.55548,2.16869,1.80961,0.000536081,0.000536081,0.000536081
74,428.721,1.96614,1.63039,1.44711,0.25049,0.47761,0.19191,0.05935,2.58625,2.35093,1.83902,0.000525728,0.000525728,0.000525728
75,434.388,1.99957,1.6468,1.44506,0.21413,0.37313,0.18277,0.05272,2.70415,2.46482,1.89006,0.000515366,0.000515366,0.000515366
76,439.717,1.9683,1.61676,1.44728,0.27144,0.19403,0.17892,0.05206,2.65023,2.41957,1.86189,0.000505,0.000505,0.000505
77,445.529,1.97966,1.60488,1.41765,0.29037,0.26866,0.22196,0.07665,2.48517,2.33685,1.74428,0.000494634,0.000494634,0.000494634
78,451.137,1.99184,1.68838,1.53343,0.25365,0.32836,0.21304,0.07506,2.48912,2.14811,1.78192,0.000484272,0.000484272,0.000484272
79,456.894,1.94492,1.59746,1.42375,0.22657,0.20896,0.14506,0.04482,2.60958,2.31618,1.82876,0.000473919,0.000473919,0.000473919
80,462.184,1.90268,1.56973,1.43058,0.26698,0.31343,0.22393,0.06401,2.52064,2.20959,1.79654,0.000463579,0.000463579,0.000463579
81,468.66,1.90052,1.58228,1.46235,0.22266,0.29076,0.20438,0.05214,2.55522,2.39366,1.81542,0.000453258,0.000453258,0.000453258
82,473.877,1.9308,1.53929,1.4353,0.23248,0.25373,0.14975,0.041,2.61143,2.30987,1.81598,0.00044296,0.00044296,0.00044296
83,478.572,1.94097,1.51276,1.38904,0.22734,0.26866,0.1381,0.04171,2.62288,2.31684,1.86425,0.000432689,0.000432689,0.000432689
84,484.879,1.91686,1.55142,1.44779,0.24407,0.31343,0.20474,0.0706,2.56099,2.1869,1.78473,0.000422449,0.000422449,0.000422449
85,490.41,1.89841,1.54738,1.42815,0.23329,0.28358,0.19663,0.07253,2.55463,2.20795,1.78651,0.000412246,0.000412246,0.000412246
86,496.349,1.88777,1.49884,1.39483,0.3287,0.32836,0.24169,0.08003,2.51881,2.12103,1.76711,0.000402084,0.000402084,0.000402084
87,501.591,1.89779,1.48917,1.42184,0.34911,0.34328,0.21913,0.07998,2.5927,2.14279,1.84287,0.000391966,0.000391966,0.000391966
88,508.459,1.94121,1.48898,1.41055,0.2918,0.29851,0.21189,0.07021,2.55203,2.27571,1.82475,0.000381899,0.000381899,0.000381899
89,513.73,1.91506,1.56514,1.47628,0.26503,0.28358,0.18248,0.06471,2.63236,2.36692,1.85126,0.000371885,0.000371885,0.000371885
90,519.917,1.9503,1.56971,1.48287,0.22877,0.31343,0.1915,0.06496,2.65072,2.34069,1.84867,0.000361929,0.000361929,0.000361929
91,525.414,1.95916,1.50131,1.38984,0.26621,0.26866,0.20375,0.0681,2.61773,2.26374,1.83368,0.000352037,0.000352037,0.000352037
92,530.655,1.92108,1.52264,1.43506,0.31376,0.29851,0.25863,0.08177,2.56222,2.09172,1.78006,0.000342211,0.000342211,0.000342211
93,536.543,1.84724,1.45702,1.37273,0.23489,0.23881,0.19083,0.06892,2.58151,2.08226,1.83675,0.000332457,0.000332457,0.000332457
94,541.822,1.91932,1.49215,1.39211,0.21467,0.34328,0.1837,0.06664,2.58431,2.17435,1.84353,0.000322778,0.000322778,0.000322778
95,548.16,1.83415,1.42221,1.36949,0.228,0.26866,0.17654,0.06043,2.5555,2.22329,1.8435,0.00031318,0.00031318,0.00031318
96,553.061,1.9011,1.4347,1.37956,0.28423,0.32836,0.18012,0.05909,2.52764,2.17137,1.81778,0.000303665,0.000303665,0.000303665
97,559.393,1.89987,1.47383,1.39856,0.30138,0.31343,0.21351,0.06777,2.54919,2.13697,1.80272,0.000294239,0.000294239,0.000294239
98,564.955,1.87683,1.46238,1.41379,0.37109,0.28358,0.23401,0.06693,2.54848,2.10349,1.82387,0.000284906,0.000284906,0.000284906
99,569.846,1.87618,1.40872,1.37993,0.386,0.31343,0.22908,0.06769,2.61766,2.06887,1.87696,0.000275668,0.000275668,0.000275668
100,576.114,1.83536,1.46562,1.42694,0.35258,0.30078,0.24319,0.07121,2.5978,2.05993,1.87819,0.000266532,0.000266532,0.000266532
101,581.389,1.88384,1.47617,1.43979,0.31597,0.28358,0.2352,0.069,2.56496,2.12161,1.83807,0.0002575,0.0002575,0.0002575
102,587.717,1.83425,1.42736,1.38918,0.31072,0.28358,0.20589,0.06545,2.51382,2.16224,1.79657,0.000248577,0.000248577,0.000248577
103,592.711,1.8504,1.41541,1.39579,0.25073,0.40959,0.22898,0.07177,2.52087,2.07775,1.81781,0.000239766,0.000239766,0.000239766
104,598.789,1.81963,1.43563,1.38807,0.34988,0.31343,0.22828,0.06904,2.56713,2.09408,1.86753,0.000231071,0.000231071,0.000231071
